GVKEY,CUSIP,EXEC_FULLNAME,CONAME,EXECID,YEAR,GENDER,SICDESC,NAICSDESC,NAICS,SIC,agree,consc,extra,neuro,openn
001004,000361105,David P. Storch,AAR CORP,9249,2011,MALE,"MACHINERY, EQUIPMENT, AND SUPPLIES-WHOLESALE",Transportation Equipment and Supplies (except Moto,423860,5080,3.5673189,4.8209267,4.128623,3.7632363,4.2343645
001004,000361105,David P. Storch,AAR CORP,9249,2012,MALE,"MACHINERY, EQUIPMENT, AND SUPPLIES-WHOLESALE",Transportation Equipment and Supplies (except Moto,423860,5080,3.5673189,4.8209267,4.128623,3.7632363,4.2343645
001004,000361105,David P. Storch,AAR CORP,9249,2013,MALE,"MACHINERY, EQUIPMENT, AND SUPPLIES-WHOLESALE",Transportation Equipment and Supplies (except Moto,423860,5080,3.5673189,4.8209267,4.128623,3.7632363,4.2343645
001004,000361105,David P. Storch,AAR CORP,9249,2014,MALE,"MACHINERY, EQUIPMENT, AND SUPPLIES-WHOLESALE",Transportation Equipment and Supplies (except Moto,423860,5080,3.5673189,4.8209267,4.128623,3.7632363,4.2343645
001004,000361105,David P. Storch,AAR CORP,9249,2015,MALE,"MACHINERY, EQUIPMENT, AND SUPPLIES-WHOLESALE",Transportation Equipment and Supplies (except Moto,423860,5080,3.5673189,4.8209267,4.128623,3.7632363,4.2343645
001004,000361105,David P. Storch,AAR CORP,9249,2016,MALE,"MACHINERY, EQUIPMENT, AND SUPPLIES-WHOLESALE",Transportation Equipment and Supplies (except Moto,423860,5080,3.5673189,4.8209267,4.128623,3.7632363,4.2343645
001004,000361105,David P. Storch,AAR CORP,9249,2017,MALE,"MACHINERY, EQUIPMENT, AND SUPPLIES-WHOLESALE",Transportation Equipment and Supplies (except Moto,423860,5080,3.5673189,4.8209267,4.128623,3.7632363,4.2343645
001004,000361105,"John McClain Holmes, III",AAR CORP,48195,2018,MALE,"MACHINERY, EQUIPMENT, AND SUPPLIES-WHOLESALE",Transportation Equipment and Supplies (except Moto,423860,5080,3.830807,4.6969748,4.3022714,3.6523662,4.0730834
001004,000361105,"John McClain Holmes, III",AAR CORP,48195,2019,MALE,"MACHINERY, EQUIPMENT, AND SUPPLIES-WHOLESALE",Transportation Equipment and Supplies (except Moto,423860,5080,3.830807,4.6969748,4.3022714,3.6523662,4.0730834
001004,000361105,"John McClain Holmes, III",AAR CORP,48195,2020,MALE,"MACHINERY, EQUIPMENT, AND SUPPLIES-WHOLESALE",Transportation Equipment and Supplies (except Moto,423860,5080,3.830807,4.6969748,4.3022714,3.6523662,4.0730834
001410,000957100,Henrik C. Slipsager,ABM INDUSTRIES INC,16088,2011,MALE,SERVICES TO DWELLINGS AND OTHER BUILDINGS,Janitorial Services,561720,7340,3.774287,5.1336069,4.7217774,3.3852015,4.6431918
001410,000957100,Henrik C. Slipsager,ABM INDUSTRIES INC,16088,2012,MALE,SERVICES TO DWELLINGS AND OTHER BUILDINGS,Janitorial Services,561720,7340,3.774287,5.1336069,4.7217774,3.3852015,4.6431918
001410,000957100,Henrik C. Slipsager,ABM INDUSTRIES INC,16088,2013,MALE,SERVICES TO DWELLINGS AND OTHER BUILDINGS,Janitorial Services,561720,7340,3.774287,5.1336069,4.7217774,3.3852015,4.6431918
001410,000957100,Henrik C. Slipsager,ABM INDUSTRIES INC,16088,2014,MALE,SERVICES TO DWELLINGS AND OTHER BUILDINGS,Janitorial Services,561720,7340,3.774287,5.1336069,4.7217774,3.3852015,4.6431918
001410,000957100,Scott B. Salmirs,ABM INDUSTRIES INC,48544,2015,MALE,SERVICES TO DWELLINGS AND OTHER BUILDINGS,Janitorial Services,561720,7340,4.1927581,5.1364622,5.3775868,3.1293306,4.7532902
001410,000957100,Scott B. Salmirs,ABM INDUSTRIES INC,48544,2016,MALE,SERVICES TO DWELLINGS AND OTHER BUILDINGS,Janitorial Services,561720,7340,4.1927581,5.1364622,5.3775868,3.1293306,4.7532902
001410,000957100,Scott B. Salmirs,ABM INDUSTRIES INC,48544,2017,MALE,SERVICES TO DWELLINGS AND OTHER BUILDINGS,Janitorial Services,561720,7340,4.1927581,5.1364622,5.3775868,3.1293306,4.7532902
001410,000957100,Scott B. Salmirs,ABM INDUSTRIES INC,48544,2018,MALE,SERVICES TO DWELLINGS AND OTHER BUILDINGS,Janitorial Services,561720,7340,4.1927581,5.1364622,5.3775868,3.1293306,4.7532902
001410,000957100,Scott B. Salmirs,ABM INDUSTRIES INC,48544,2019,MALE,SERVICES TO DWELLINGS AND OTHER BUILDINGS,Janitorial Services,561720,7340,4.1927581,5.1364622,5.3775868,3.1293306,4.7532902
001410,000957100,Scott B. Salmirs,ABM INDUSTRIES INC,48544,2020,MALE,SERVICES TO DWELLINGS AND OTHER BUILDINGS,Janitorial Services,561720,7340,4.1927581,5.1364622,5.3775868,3.1293306,4.7532902
001449,001055102,Daniel Paul Amos,AFLAC INC,13,2011,MALE,ACCIDENT AND HEALTH INSURANCE,Direct Health and Medical Insurance Carriers,524114,6321,4.0259337,5.4748073,4.9570661,3.0452795,4.846137
001449,001055102,Daniel Paul Amos,AFLAC INC,13,2012,MALE,ACCIDENT AND HEALTH INSURANCE,Direct Health and Medical Insurance Carriers,524114,6321,4.0259337,5.4748073,4.9570661,3.0452795,4.846137
001449,001055102,Daniel Paul Amos,AFLAC INC,13,2013,MALE,ACCIDENT AND HEALTH INSURANCE,Direct Health and Medical Insurance Carriers,524114,6321,4.0259337,5.4748073,4.9570661,3.0452795,4.846137
001449,001055102,Daniel Paul Amos,AFLAC INC,13,2014,MALE,ACCIDENT AND HEALTH INSURANCE,Direct Health and Medical Insurance Carriers,524114,6321,4.0259337,5.4748073,4.9570661,3.0452795,4.846137
