SIC_1digit,Comparison_ID,Pearson_Similarity
A,A,1.0
A,B,0.2348
A,C,0.9819
A,D,0.8331
A,E,0.9938
A,F,0.9148
A,G,0.9042
A,H,0.9918
A,I,0.8071
A,J,0.6719
B,A,0.2348
B,B,1.0
B,C,0.3923
B,D,-0.3381
B,E,0.3287
B,F,-0.1706
B,G,-0.1726
B,H,0.1428
B,I,-0.3806
B,J,-0.5279
C,A,0.9819
C,B,0.3923
C,C,1.0
C,D,0.7227
C,E,0.9962
C,F,0.8339
C,G,0.8122
C,H,0.9604
C,I,0.6946
C,J,0.5384
D,A,0.8331
D,B,-0.3381
D,C,0.7227
D,D,1.0
D,E,0.7735
D,F,0.9829
D,G,0.9693
D,H,0.8719
D,I,0.9912
D,J,0.9603
E,A,0.9938
E,B,0.3287
E,C,0.9962
E,D,0.7735
E,E,1.0
E,F,0.8731
E,G,0.8517
E,H,0.9752
E,I,0.7426
E,J,0.6027
F,A,0.9148
F,B,-0.1706
F,C,0.8339
F,D,0.9829
F,E,0.8731
F,F,1.0
F,G,0.9734
F,H,0.9381
F,I,0.9659
F,J,0.9101
G,A,0.9042
G,B,-0.1726
G,C,0.8122
G,D,0.9693
G,E,0.8517
G,F,0.9734
G,G,1.0
G,H,0.9413
G,I,0.9704
G,J,0.8654
H,A,0.9918
H,B,0.1428
H,C,0.9604
H,D,0.8719
H,E,0.9752
H,F,0.9381
H,G,0.9413
H,H,1.0
H,I,0.8605
H,J,0.7121
I,A,0.8071
I,B,-0.3806
I,C,0.6946
I,D,0.9912
I,E,0.7426
I,F,0.9659
I,G,0.9704
I,H,0.8605
I,I,1.0
I,J,0.9414
J,A,0.6719
J,B,-0.5279
J,C,0.5384
J,D,0.9603
J,E,0.6027
J,F,0.9101
J,G,0.8654
J,H,0.7121
J,I,0.9414
J,J,1.0
